iter	Logloss
0	0.6762469138
1	0.6526605586
2	0.6309930944
3	0.6116858123
4	0.5970423518
5	0.5798016238
6	0.565200852
7	0.5548487099
8	0.5424391621
9	0.5335235287
10	0.5229524231
11	0.5125661049
12	0.5025063195
13	0.4916467849
14	0.4820629558
15	0.4746217211
16	0.4678675371
17	0.4603638941
18	0.4545555987
19	0.447029204
20	0.4422602781
21	0.437405254
22	0.4333856184
23	0.4278650105
24	0.4234028176
25	0.4185457467
26	0.4141814848
27	0.4106693235
28	0.4075069898
29	0.4044665445
30	0.4019624489
31	0.3988913513
32	0.3954205104
33	0.3929978286
34	0.3889655211
35	0.3857590599
36	0.3827703938
37	0.3797536922
38	0.3763145542
39	0.3734043672
40	0.3706801731
41	0.369021559
42	0.3660980564
43	0.3639335125
44	0.3618235407
45	0.3600751017
46	0.3571594202
47	0.3549661122
48	0.3536619507
49	0.3520329864
50	0.3508924093
51	0.3497841279
52	0.3475429254
53	0.3466781565
54	0.345583119
55	0.3441140693
56	0.3425594872
57	0.3411240389
58	0.3400759293
59	0.3393528989
60	0.3384934775
61	0.3376409902
62	0.3366716708
63	0.3353547074
64	0.3342860184
65	0.3335774581
66	0.3326050914
67	0.3315756955
68	0.3304476779
69	0.3297732441
70	0.3287971195
71	0.3281354827
72	0.3276012225
73	0.326717641
74	0.3258234294
75	0.3255472805
76	0.3251888384
77	0.3243331306
78	0.3237413695
79	0.3225777254
80	0.3222292302
81	0.3215368107
82	0.3209444374
83	0.3203542033
84	0.3197945068
85	0.3189376805
86	0.3183815484
87	0.3179301754
88	0.3172781945
89	0.3167725151
90	0.316131199
91	0.3153999995
92	0.3145292412
93	0.3142209834
94	0.312797456
95	0.3119199643
96	0.3110603806
97	0.3103012698
98	0.3098861129
99	0.3093857137
100	0.3088556038
101	0.3082992621
102	0.307227727
103	0.3062984932
104	0.3056589241
105	0.304905638
106	0.3044044561
107	0.3040518439
108	0.3037071547
109	0.3033605282
110	0.3030354711
111	0.3026608512
112	0.3022447946
113	0.3017963515
114	0.301354153
115	0.3007350017
116	0.3005735555
117	0.3002427709
118	0.2995709734
119	0.2992228444
120	0.2984953236
121	0.2979853996
122	0.2976418939
123	0.2973536225
124	0.2970326114
125	0.296724402
126	0.2963718988
127	0.2961558432
128	0.2958532139
129	0.2951540429
130	0.2945162532
131	0.2941182304
132	0.2935541913
133	0.2932488489
134	0.292645033
135	0.2923207849
136	0.2913053971
137	0.2908411151
138	0.2904918999
139	0.2901944763
140	0.2897036476
141	0.2892310619
142	0.2889932832
143	0.2886548729
144	0.2882944631
145	0.2880931863
146	0.2872500337
147	0.2869326406
148	0.2863891887
149	0.286241824
150	0.2860863613
151	0.2857758168
152	0.2855398386
153	0.2847854668
154	0.2846467473
155	0.2843240067
156	0.2840334331
157	0.2836494755
158	0.2834023483
159	0.2832302021
160	0.2828492632
161	0.2824401929
162	0.2822999767
163	0.2821573465
164	0.2819351392
165	0.2817416813
166	0.2815646638
167	0.2809440677
168	0.2805343127
169	0.2803415819
170	0.2793966861
171	0.27902892
172	0.2788817813
173	0.2787333064
174	0.2783094727
175	0.2781403478
176	0.2777325404
177	0.2771701281
178	0.2768175879
179	0.2762864212
180	0.2760978367
181	0.2757995048
182	0.2754746797
183	0.2751796453
184	0.2749803824
185	0.2745605648
186	0.2744949404
187	0.2741753932
188	0.2740142295
189	0.2736975478
190	0.2736404406
191	0.2733807218
192	0.2729962366
193	0.2727717322
194	0.272599174
195	0.272342594
196	0.2720661389
197	0.2719208682
198	0.2715212277
199	0.2714511901
200	0.27136052
201	0.2710638963
202	0.2705114966
203	0.2702575252
204	0.2700568174
205	0.2697151382
206	0.2696060196
207	0.2695232943
208	0.26865705
209	0.2681539924
210	0.268076582
211	0.2679331847
212	0.2676420644
213	0.2672259637
214	0.2667138979
215	0.266358913
216	0.2659609539
217	0.2655444568
218	0.2653093587
219	0.2650017407
220	0.2647732001
221	0.2645288193
222	0.2643185346
223	0.2639956098
224	0.2638345887
225	0.263659329
226	0.2633777654
227	0.2628879833
228	0.2627615996
229	0.2623866282
230	0.2623429729
231	0.262021435
232	0.2617089213
233	0.2611979362
234	0.2608239055
235	0.2606851455
