mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6555877685546875,0.020901697405263826,0.025115823745727538,0.001422877818259742,,2,200,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9087577160493827,0.9168595679012346,0.9253472222222222,0.9109760802469137,0.9347029320987654,0.9193287037037038,0.009593729140548351,9
1.2093842506408692,0.03885711649038224,0.04917621612548828,0.011121142191412156,,2,400,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9124228395061729,0.9146412037037037,0.9220679012345679,0.9150270061728395,0.9365354938271605,0.920138888888889,0.008814341126891976,5
0.5764112949371338,0.0394193987130043,0.024987220764160156,0.0017672379514970945,,5,200,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9166666666666666,0.9133873456790124,0.9180169753086419,0.9176311728395062,0.9344135802469136,0.9200231481481481,0.007377406775733871,7
1.2175153732299804,0.12842837629612855,0.04368853569030762,0.0018840046176400755,,5,400,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.912037037037037,0.9133873456790123,0.9184027777777777,0.9164737654320987,0.9359567901234569,0.9192515432098766,0.008648001371230967,10
0.572142219543457,0.006689529911425775,0.030278635025024415,0.005162287351490712,10,2,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9168595679012347,0.9170524691358025,0.9205246913580246,0.9187885802469136,0.9390432098765432,0.9224537037037038,0.008400400274700395,1
1.2256650447845459,0.12635498257934594,0.04552474021911621,0.0036075977386105886,10,2,400,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9193672839506173,0.9143518518518519,0.9205246913580247,0.918016975308642,0.9398148148148149,0.9224151234567902,0.008943963043729712,2
0.563758659362793,0.006213397374953011,0.02586970329284668,0.0015505453454250548,10,5,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9128086419753086,0.9157021604938271,0.9216820987654321,0.9236111111111112,0.935570987654321,0.921875,0.007885862868508287,3
1.1253647804260254,0.04208714641607293,0.0452181339263916,0.0055584245645751915,10,5,400,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.9143518518518519,0.9130015432098766,0.9207175925925927,0.9224537037037037,0.9373070987654322,0.9215663580246914,0.00865660275523851,4
0.5964093208312988,0.015128693479112786,0.02752971649169922,0.0022099643985059795,20,2,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.908468364197531,0.9166666666666667,0.9258294753086421,0.9106867283950617,0.9341242283950617,0.9191550925925928,0.00959931279700503,12
1.099048662185669,0.03370165131633504,0.036572504043579104,0.0068583961543666385,20,2,400,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9119405864197531,0.9145447530864198,0.9224537037037038,0.9147376543209876,0.9360532407407407,0.919945987654321,0.008787704611209155,8
0.5918525218963623,0.01775061710868245,0.026071691513061525,0.0010135308188294698,20,5,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9166666666666666,0.9133873456790124,0.918016975308642,0.9176311728395062,0.9344135802469136,0.9200231481481482,0.007377406775733865,6
0.8732986450195312,0.10939330303294155,0.02827610969543457,0.003932356337076808,20,5,400,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.912037037037037,0.9133873456790123,0.9185956790123456,0.9164737654320987,0.935570987654321,0.919212962962963,0.008495892466660628,11
