seed,arm,train_prev,n_train,corrected,roc_auc,sensitivity,specificity,accuracy,ppv,brier,mean_pred,threshold
0,resampled @ 14%,0.13999817512698073,32879,False,0.8332116344314089,0.41702867072111205,0.9241867043847242,0.8531808782386571,0.47244094488188976,0.09763724356889725,0.13705240190029144,0.3448743718592965
0,resampled @ 14%,0.13999817512698073,32879,True,0.8332116344314089,0.41702867072111205,0.9241867043847242,0.8531808782386571,0.47244094488188976,0.09763724356889725,0.13705378770828247,0.34487779634269927
0,resampled @ 25%,0.25000760363758023,32879,False,0.8337836725214037,0.6559513466550826,0.8155586987270156,0.7932125045614888,0.36668285575522097,0.10743480920791626,0.21656735241413116,0.3547236180904523
0,resampled @ 25%,0.25000760363758023,32879,True,0.8337836725214037,0.6559513466550826,0.8155586987270156,0.7932125045614888,0.36668285575522097,0.09759894758462906,0.13889293372631073,0.21164168710360656
0,resampled @ 40%,0.40001216582012833,32879,False,0.8380941730762378,0.8314509122502172,0.695049504950495,0.7141466974820582,0.30742049469964666,0.13990303874015808,0.31204918026924133,0.36457286432160807
0,resampled @ 40%,0.40001216582012833,32879,True,0.8380941730762378,0.8314509122502172,0.695049504950495,0.7141466974820582,0.30742049469964666,0.09677634388208389,0.14065083861351013,0.1228788144989993
0,resampled @ 50%,0.5000152072751605,32879,False,0.8358223646616866,0.8861859252823632,0.6132956152758133,0.6515022503345091,0.2717101758124667,0.17284256219863892,0.37363994121551514,0.37442211055276386
0,resampled @ 50%,0.5000152072751605,32879,True,0.8358223646616866,0.8861859252823632,0.6132956152758133,0.6515022503345091,0.2717101758124667,0.09705265611410141,0.14118440449237823,0.08877839167757988
0,scale_pos_weight @ natural,0.13999817512698073,32879,False,0.8271864942482829,0.45004344048653344,0.9046676096181047,0.8410169079187447,0.43456375838926176,0.1597200632095337,0.3431892991065979,0.7092964824120603
1,resampled @ 14%,0.13999391727493918,32880,False,0.8222529469045289,0.3961772371850565,0.9190833215447729,0.8458637469586374,0.44357976653696496,0.0996537134051323,0.13707272708415985,0.33994974874371864
1,resampled @ 14%,0.13999391727493918,32880,True,0.8222529469045289,0.3961772371850565,0.9190833215447729,0.8458637469586374,0.44357976653696496,0.09965373575687408,0.1370774209499359,0.33996108513521606
1,resampled @ 25%,0.25,32880,False,0.8246277631473993,0.6377063423110338,0.8179374734757392,0.7927007299270074,0.3631865413161801,0.10958745330572128,0.21936222910881042,0.3547236180904523
1,resampled @ 25%,0.25,32880,True,0.8246277631473993,0.6377063423110338,0.8179374734757392,0.7927007299270074,0.3631865413161801,0.09934788197278976,0.14031270146369934,0.2116484533168095
1,resampled @ 40%,0.4,32880,False,0.8255832203331711,0.8410078192875761,0.6771820625265242,0.7001216545012166,0.29784615384615387,0.14448295533657074,0.3157603144645691,0.3596482412060302
1,resampled @ 40%,0.4,32880,True,0.8255832203331711,0.8410078192875761,0.6771820625265242,0.7001216545012166,0.29784615384615387,0.0990523099899292,0.14166022837162018,0.12060472077002397
1,resampled @ 50%,0.5,32880,False,0.8260806750488146,0.8844483058210252,0.601499504880464,0.6411192214111923,0.26544980443285526,0.1782320737838745,0.37864822149276733,0.37442211055276386
1,resampled @ 50%,0.5,32880,True,0.8260806750488146,0.8844483058210252,0.601499504880464,0.6411192214111923,0.26544980443285526,0.09888418763875961,0.14292338490486145,0.08878331267958549
1,scale_pos_weight @ natural,0.13999391727493918,32880,False,0.8180026741494015,0.46481320590790615,0.8936200311217994,0.8335766423357664,0.4156954156954157,0.16249553859233856,0.34359994530677795,0.7043718592964825
2,resampled @ 14%,0.13999817512698073,32879,False,0.8239239723897921,0.43614248479582973,0.9115983026874116,0.8450310181243158,0.4454303460514641,0.09828322380781174,0.13727901875972748,0.33502512562814074
2,resampled @ 14%,0.13999817512698073,32879,True,0.8239239723897921,0.43614248479582973,0.9115983026874116,0.8450310181243158,0.4454303460514641,0.09828323870897293,0.1372804194688797,0.3350285023262428
2,resampled @ 25%,0.25000760363758023,32879,False,0.8237981977420779,0.6576889661164205,0.7997171145685997,0.7798321372095852,0.34836631385181777,0.10949785262346268,0.21884207427501678,0.3497989949748744
2,resampled @ 25%,0.25000760363758023,32879,True,0.8237981977420779,0.6576889661164205,0.7997171145685997,0.7798321372095852,0.34836631385181777,0.09839875996112823,0.1400795578956604,0.2080629720379752
2,resampled @ 40%,0.40001216582012833,32879,False,0.8258027887932147,0.8218940052128584,0.6821782178217822,0.7017394477557475,0.29627309740056373,0.1435706466436386,0.3119180500507355,0.3596482412060302
2,resampled @ 40%,0.40001216582012833,32879,True,0.8258027887932147,0.8218940052128584,0.6821782178217822,0.7017394477557475,0.29627309740056373,0.0979318842291832,0.14002761244773865,0.1205993446614229
2,resampled @ 50%,0.5000152072751605,32879,False,0.8247097106384339,0.8801042571676803,0.6082036775106082,0.6462717430969468,0.267776896642876,0.17832207679748535,0.37741538882255554,0.3793467336683417
2,resampled @ 50%,0.5000152072751605,32879,True,0.8247097106384339,0.8801042571676803,0.6082036775106082,0.6462717430969468,0.267776896642876,0.09843111783266068,0.14266882836818695,0.09048949981759813
2,scale_pos_weight @ natural,0.13999817512698073,32879,False,0.8196669890397256,0.45178105994787143,0.9043847241867043,0.8410169079187447,0.43478260869565216,0.16205981373786926,0.3429349362850189,0.7142211055276382
3,resampled @ 14%,0.13999817512698073,32879,False,0.8227946426267301,0.42050390964378803,0.9181046676096181,0.8484369298138913,0.4553151458137347,0.09799272567033768,0.13749757409095764,0.33502512562814074
3,resampled @ 14%,0.13999817512698073,32879,True,0.8227946426267301,0.42050390964378803,0.9181046676096181,0.8484369298138913,0.4553151458137347,0.09799273312091827,0.13749900460243225,0.3350285023262428
3,resampled @ 25%,0.25000760363758023,32879,False,0.827263175616308,0.6637706342311034,0.8106082036775106,0.7900498722783117,0.36329053732762717,0.10765054076910019,0.2194151133298874,0.3547236180904523
3,resampled @ 25%,0.25000760363758023,32879,True,0.827263175616308,0.6637706342311034,0.8106082036775106,0.7900498722783117,0.36329053732762717,0.09702585637569427,0.14022205770015717,0.21164168710360656
3,resampled @ 40%,0.40001216582012833,32879,False,0.8297986376768495,0.8557775847089487,0.6459688826025459,0.6753436321615375,0.2823967889908257,0.14313936233520508,0.31694668531417847,0.33502512562814074
3,resampled @ 40%,0.40001216582012833,32879,True,0.8297986376768495,0.8557775847089487,0.6459688826025459,0.6753436321615375,0.2823967889908257,0.09665796160697937,0.1409461796283722,0.10954284124864307
3,resampled @ 50%,0.5000152072751605,32879,False,0.8302518442237671,0.8818418766290183,0.6036775106082036,0.6426225520009731,0.26591564055541,0.17698277533054352,0.3787738084793091,0.37442211055276386
3,resampled @ 50%,0.5000152072751605,32879,True,0.8302518442237671,0.8818418766290183,0.6036775106082036,0.6426225520009731,0.26591564055541,0.09651752561330795,0.14293015003204346,0.08877839167757988
3,scale_pos_weight @ natural,0.13999817512698073,32879,False,0.8188375030875311,0.5056472632493484,0.8916548797736916,0.8376109962291692,0.4317507418397626,0.1612192541360855,0.3435108959674835,0.6895979899497487
4,resampled @ 14%,0.13999817512698073,32879,False,0.8216100752435923,0.3970460469157255,0.9254596888260255,0.8514779223938693,0.4644308943089431,0.09852578490972519,0.13359065353870392,0.33502512562814074
4,resampled @ 14%,0.13999817512698073,32879,True,0.8216100752435923,0.3970460469157255,0.9254596888260255,0.8514779223938693,0.4644308943089431,0.098525770008564,0.13359202444553375,0.3350285023262428
4,resampled @ 25%,0.25000760363758023,32879,False,0.8205867967956035,0.6776715899218071,0.7964639321074964,0.7798321372095852,0.3515096890491212,0.10834302008152008,0.21325574815273285,0.32517587939698495
4,resampled @ 25%,0.25000760363758023,32879,True,0.8205867967956035,0.6776715899218071,0.7964639321074964,0.7798321372095852,0.3515096890491212,0.09895024448633194,0.13591228425502777,0.19049390211750447
