mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5313515663146973,0.0799063060740745,0.0306088924407959,0.00047393135170088085,,2,200,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9087577160493827,0.9168595679012346,0.9253472222222222,0.9109760802469137,0.9347029320987654,0.9193287037037038,0.009593729140548351,9
0.9392563819885253,0.06630197212495673,0.06784181594848633,0.02289584700242808,,2,400,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9124228395061729,0.9146412037037037,0.9220679012345679,0.9150270061728395,0.9365354938271605,0.920138888888889,0.008814341126891976,5
0.4380343914031982,0.010020642926395297,0.030850934982299804,0.0006370289663257211,,5,200,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9166666666666666,0.9133873456790124,0.9180169753086419,0.9176311728395062,0.9344135802469136,0.9200231481481481,0.007377406775733871,7
0.8984889030456543,0.022727148719145027,0.059136581420898435,0.010708173610391294,,5,400,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.912037037037037,0.9133873456790123,0.9184027777777777,0.9164737654320987,0.9359567901234569,0.9192515432098766,0.008648001371230967,10
0.48209776878356936,0.03292393505800735,0.03565535545349121,0.006796533653903862,10,2,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9168595679012347,0.9170524691358025,0.9205246913580246,0.9187885802469136,0.9390432098765432,0.9224537037037038,0.008400400274700395,1
0.9411718845367432,0.042641071648749425,0.06011066436767578,0.01141970890471843,10,2,400,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9193672839506173,0.9143518518518519,0.9205246913580247,0.918016975308642,0.9398148148148149,0.9224151234567902,0.008943963043729712,2
0.44673738479614256,0.023211428652973664,0.030751848220825197,0.0009653457696083112,10,5,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9128086419753086,0.9157021604938271,0.9216820987654321,0.9236111111111112,0.935570987654321,0.921875,0.007885862868508287,3
0.9155967235565186,0.038384014765423,0.062250709533691405,0.0083623547540062,10,5,400,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.9143518518518519,0.9130015432098766,0.9207175925925927,0.9224537037037037,0.9373070987654322,0.9215663580246914,0.00865660275523851,4
0.46047167778015136,0.021548392927653544,0.03745431900024414,0.011514690419517243,20,2,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.908468364197531,0.9166666666666667,0.9258294753086421,0.9106867283950617,0.9341242283950617,0.9191550925925928,0.00959931279700503,12
0.8863251209259033,0.021626435905505028,0.05457472801208496,0.0007573827357655332,20,2,400,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9119405864197531,0.9145447530864198,0.9224537037037038,0.9147376543209876,0.9360532407407407,0.919945987654321,0.008787704611209155,8
0.46912508010864257,0.0307803103370176,0.030142498016357423,0.00021731166990928387,20,5,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9166666666666666,0.9133873456790124,0.918016975308642,0.9176311728395062,0.9344135802469136,0.9200231481481482,0.007377406775733865,6
0.8711556911468505,0.18273434387622073,0.06271924972534179,0.02139537732026915,20,5,400,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.912037037037037,0.9133873456790123,0.9185956790123456,0.9164737654320987,0.935570987654321,0.919212962962963,0.008495892466660628,11
